no,filename,value1,value2,value3,value4,rotamer,OTDS,G_kcal
1,OTDS_study_ring_1,51.10695269358157,72.23470388660552,169.84809444722683,159.60625175761314,syn_exo,1,0.0
2,OTDS_study_ring_2,52.01179851354056,74.82966556219262,169.94081709352196,161.35268218953854,syn_exo,1,1.0447840578000012
3,OTDS_study_ring_3,-36.97794154562301,56.038302849061544,169.19284944583202,158.7319373286993,syn_exo,1,1.1725188986000057
4,OTDS_study_ring_4,40.77695473327898,-53.70945346644069,169.94418576654064,157.43124247179736,syn_exo,1,1.2245395574000082
5,OTDS_study_ring_5,-36.88235989540004,178.91691754139836,169.50462891717058,160.1597744739128,syn_exo,0,1.5339884350000033
6,OTDS_study_ring_6,41.12894721431582,-51.55560108525736,169.87931518723897,158.4524520193196,syn_exo,1,1.9016440828000094
7,OTDS_study_ring_7,-35.4637757231048,58.77886444428305,169.28912679399016,160.14828663361408,syn_exo,1,1.952804895999997
8,OTDS_study_ring_8,-53.263075557100805,-77.92961805609542,-179.8643438666815,86.6453199443627,syn_exo,0,1.994173023199999
9,OTDS_study_ring_9,-175.22479526410496,66.0935839967423,169.4878247535957,159.82800936382822,syn_exo,0,2.18181044080001
10,OTDS_study_ring_10,32.12218656489618,177.64020735907374,169.21209293919236,160.5541103512577,syn_exo,0,2.272619689999997
11,OTDS_study_ring_11,-35.69548986346168,-178.55160247336605,169.78011786884056,161.26365748310738,syn_exo,0,2.3382306862000095
12,OTDS_study_ring_12,55.09181590457818,-160.55065389929825,166.54281548948407,158.2877302455327,syn_exo,0,2.4227582855999983
13,OTDS_study_ring_13,-53.05810004035401,-77.46543574380894,179.88113456224437,88.15670381381834,syn_exo,0,2.7538704953999997
14,OTDS_study_ring_14,-41.990580580249706,-73.76611235491474,174.72881690940935,157.30908701265483,syn_exo,1,2.843103361000002
15,OTDS_study_ring_15,53.01080783037551,-28.99255321972601,-171.27935327209093,89.82387100224241,syn_exo,0,2.9126075470000012
16,OTDS_study_ring_16,54.99961136320159,-160.507033851847,166.93619811800716,159.06626001556563,syn_exo,0,2.9665150892000054
17,OTDS_study_ring_17,33.36157949779523,-178.33123645598735,168.00013658744854,162.1712076994759,syn_exo,0,3.0943215838000055
18,OTDS_study_ring_18,-41.597846427299714,-69.62027852259213,172.7664143273835,158.10450385847034,syn_exo,1,3.3013294120000007
19,OTDS_study_ring_19,-175.4362708602834,68.6080916033263,169.2056025912048,161.63983289929914,syn_exo,0,3.4084757276000004
20,OTDS_study_ring_20,-42.69357159809941,46.142785335613205,177.42197205651715,87.74474868510248,syn_exo,0,3.5404142580000086
21,OTDS_study_ring_21,37.33387335450814,-58.72024441482753,179.62104451512997,87.56848601788563,syn_exo,0,3.6022753719999985
22,OTDS_study_ring_22,34.28552542086484,172.2520293903416,179.17536805479818,88.65177346908426,syn_exo,0,3.6611986802000063
23,OTDS_study_ring_23,-45.79762169350449,-62.43935916030588,-126.13553859347873,171.6890600391225,syn_exo,0,3.770446840600008
24,OTDS_study_ring_24,52.17578654529442,-25.860981348192826,-172.33669168698682,89.86414103524092,syn_exo,0,3.8564552852000054
25,OTDS_study_ring_25,48.84046566774904,-19.857009109956497,-113.1724240241783,169.95851385267835,syn_exo,0,3.882417845400005
26,OTDS_study_ring_26,50.11571785813044,-148.84397566395657,-171.38100633019823,90.00068446323633,syn_exo,0,3.8848779591999985
27,OTDS_study_ring_27,-53.089206751756876,153.08742511830349,-178.4683485475884,89.67136603769129,syn_exo,0,4.011705185199999
28,OTDS_study_ring_28,-169.17383874793498,-170.27682844117248,167.4019485435494,159.5696215975155,syn_exo,0,4.101296319800007
29,OTDS_study_ring_29,170.83147713609767,-70.38027201773397,-178.85233438432493,85.4207672843868,syn_exo,0,4.169749583399999
30,OTDS_study_ring_30,-36.38997159361027,-26.39994947480214,174.84827382335536,160.75869673014128,syn_exo,0,4.174454849599999
31,OTDS_study_ring_31,165.82514516923237,171.45311416894972,170.16728116881146,161.53774858011693,syn_exo,0,4.18133361440001
32,OTDS_study_ring_32,-41.37406022804791,50.34175288637656,178.74511911589929,-144.55205848262372,syn_endo,1,4.221077588799999
33,OTDS_study_ring_33,36.38874569767771,55.50331572103184,-178.52946173254728,88.75320569288263,syn_exo,0,4.236889194000008
34,OTDS_study_ring_34,35.633926244981375,-58.742655869550866,179.11890180616095,-146.97557374252867,syn_endo,1,4.293424042200004
35,OTDS_study_ring_35,-49.587222309617154,145.2153407767181,159.61773706304422,159.332445870404,syn_exo,0,4.306035111000002
36,OTDS_study_ring_36,-41.033585050123754,48.89196346630454,177.24423257762018,89.400827691446,syn_exo,0,4.363692535400002
37,OTDS_study_ring_37,-31.23668176943826,74.61258006042662,-172.21806344447063,92.64230136077046,syn_exo,0,4.382513600200002
38,OTDS_study_ring_38,37.18971431203682,-58.52529157352471,179.64434030548892,89.76450748793253,syn_exo,0,4.417241808600001
39,OTDS_study_ring_39,34.77093086307672,173.18955849639906,178.9527837303122,90.07757724401766,syn_exo,0,4.449199403400002
40,OTDS_study_ring_40,-44.716882340947095,-58.03098808069283,-121.6765034266215,175.87782739218983,syn_exo,0,4.555844142400006
41,OTDS_study_ring_41,48.313969329771204,-20.417361363894713,-111.92747489628411,171.63230818678431,syn_exo,0,4.600962151800004
42,OTDS_study_ring_42,-41.651312639463505,40.46371243450594,-177.09062113081103,-152.4898825515317,syn_endo,1,4.622362753400008
43,OTDS_study_ring_43,-173.38759026809691,-64.61558866016779,174.96696144513746,154.917533469018,syn_exo,0,4.676413603200004
44,OTDS_study_ring_44,44.30044034072233,67.73310148715318,175.6640621647524,-143.11233987521263,syn_endo,1,4.6918430548
45,OTDS_study_ring_45,-33.70394975023708,93.46406586953731,-112.50343369009047,170.7387957473149,syn_exo,0,4.702925509200001
46,OTDS_study_ring_46,-168.91005691241406,-169.4994696183919,167.67227845102235,160.53700253271123,syn_exo,0,4.711858349599999
47,OTDS_study_ring_47,-48.93989754160924,-77.31693694969533,-171.1441434205909,-157.3333879288711,syn_endo,1,4.7201940749999975
48,OTDS_study_ring_48,-33.89191486394827,-46.423714386125745,-171.74869719289717,90.86538207886373,syn_exo,0,4.724636610600009
49,OTDS_study_ring_49,38.504805784924514,56.704409397453304,-179.0110969523913,90.45634376671538,syn_exo,0,4.778997960200008
50,OTDS_study_ring_50,-34.4660412285123,-158.61759382324314,-170.71318516694575,94.73007542031279,syn_exo,0,4.795621641800003
51,OTDS_study_ring_51,49.380486535745256,-143.43798271670946,-115.19231617833417,172.02578011665065,syn_exo,0,4.810525632200009
52,OTDS_study_ring_52,-30.81465963007876,179.63518450978086,178.12200526232627,85.5268751332521,syn_exo,0,4.827746428800004
53,OTDS_study_ring_53,-53.16324159151805,153.051714146017,-178.65084696247118,90.76258504797921,syn_exo,0,4.853589566000006
54,OTDS_study_ring_54,170.58986867476068,-70.065348229269,-178.72966177517097,87.4587609776504,syn_exo,0,4.92015594620001
55,OTDS_study_ring_55,49.103879507926884,-146.87486205497416,-172.56471808529824,90.13677424905569,syn_exo,0,4.932074361600005
56,OTDS_study_ring_56,-41.28330383952194,-129.03309830811526,167.1440678995194,160.46183507802644,syn_exo,0,4.996658320000003
57,OTDS_study_ring_57,35.055892831676914,178.6985559655031,-134.33109790624678,165.64806894900545,syn_exo,0,5.008720043000004
58,OTDS_study_ring_58,30.58357587084933,-70.17901880105273,-175.26613815788588,-156.28612627111602,syn_endo,1,5.0560593202
59,OTDS_study_ring_59,-173.53060020106287,-62.410642160813765,174.5142885045129,155.34151819125833,syn_exo,0,5.080063343200003
60,OTDS_study_ring_60,53.96294582862947,77.82826878758091,142.61933028056694,75.74009287502803,syn_exo,0,5.110683400400001
61,OTDS_study_ring_61,-50.73614051789342,157.77082452354082,-137.68704437318493,163.83095275678144,syn_exo,0,5.140348073600008
62,OTDS_study_ring_62,34.9325713359785,178.071364512956,179.08066366219248,-150.19350141779782,syn_endo,0,5.145984839200006
63,OTDS_study_ring_63,-53.209207807628765,155.55704157478615,-174.73435642740597,-153.1237014688468,syn_endo,0,5.236985165199998
